Data início,Andamento,Secretária,Objeto do projeto,Tipo,Local de execução,Valor total,Valor medição,Latitude,Longitude
03/03/2024,CADASTRADO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",CONSTRUÇÃO DE UBS NO MUNICIPIO DE MILHÃ - CE,CONSTRUÇÃO,,2198371,,-5.677301,-39.19559
02/01/2024,CADASTRADO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",CONSTRUÇÃO DE PASSAGENS MOLHADAS NO MUNICIPIO DE MILHÃ,CONSTRUÇÃO,,1816525,,-5.675633,-39.194609
11/10/2023,EM TRAMITAÇÃO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",PAVIMENTAÇÃO NA ZONA URBANA DO MUNICÍPIO DE MILHÃ-CE,CONSTRUÇÃO,,"3549250,74","3186891,08",-5.675862,-39.193485
18/09/2023,EM TRAMITAÇÃO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",ADEQUAÇÃO DE ESTRADAS VICINAIS NO MUNICÍPIO DE MILHÃ-CE.,CONSTRUÇÃO,,"1855544,9",,-5.681867,-39.196408
02/03/2023,EM EXECUÇÃO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",RECUPERACAO DE ESTRADAS VICINAIS NO MUNICIPIO DE MILHA - CE.,CONSTRUÇÃO,,5941344,,-5.6796,-39.19564
02/01/2023,EM EXECUÇÃO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",PAVIMENTAÇÃO NO MUNICÍPIO DE MILHÃ - CE,CONSTRUÇÃO,,3115000,,-5.686315,-39.190285
30/06/2022,EM EXECUÇÃO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",CONSTRUÇÃO DE PASSAGEM MOLHADA NA LOCALIDADE DE SÍTIO BARRA NO MUNICÍPIO DE MILHÃ/CE,CONSTRUÇÃO,,"205614,03",,-5.680756,-39.194684
29/06/2022,CADASTRADO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",PAVIMENTAÇÃO EM PEDRA TOSCA NA LOCALIDADE DE BOM ACERTO NO MUNICÍPIO DE MILHÃ-CE.,CONSTRUÇÃO,,"195429,55",,-5.682544,-39.176893
02/01/2022,CONCLUÍDA,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",PAVIMENTAÇÃO NA ZONA URBANA NO MUNICÍPIO - PAVIMENTAÇÃO INTERTAVRADA,CONSTRUÇÃO,,3640494,,-5.672502,-39.183194
02/01/2022,CADASTRADO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",ADEQUAÇÃO DE ESTRADAS VICINAIS NO MUNICÍPIO DE MILHÃ - CE,CONSTRUÇÃO,,3194700,,-5.671365,-39.179716
02/01/2022,EM EXECUÇÃO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",ADEQUAÇÃO DE ESTRADAS VICINAIS,CONSTRUÇÃO,,1913000,,-5.674461,-39.193695
02/01/2022,CONCLUÍDA,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",RECUPERAÇÃO DE ESTRADAS VICINAIS NO MUNICIPIO DE MILHÃ,CONSTRUÇÃO,,3910950,,-5.679454,-39.197215
02/01/2021,CONCLUÍDA,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",RECUPERAÇÃO DE ESTRADAS VICINAIS,CONSTRUÇÃO,,3712333,,-5.671401,-39.191432
04/07/2018,CONCLUÍDA,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO","PAVIMENTAÇÃO EM PEDRA TOSCA EM DIVERSAS RUAS DO DISTRITO DE CARNAUBINHA, NO MUNICÍPIO DE MILHÃ-CE",CONSTRUÇÃO,,"840009,84",,-5.687121,-39.196913
28/06/2018,CADASTRADO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",CONSTRUÇÃO DE PASSAGEM MOLHADA NO MUNICÍPIO DE MILHÃ - CE,CONSTRUÇÃO,,"320566,33",,-5.684528,-39.197346
02/01/2018,CADASTRADO,"SECRETARIA DE OBRAS, INFRAESTRUTURA E URBANISMO",RECUPERACAO DE ESTRADAS VICINAIS NAS LOCALIDADE NO MUNICIPIO DE MILHA/CE,CONSTRUÇÃO,,"2144746,18",,-5.68194,-39.200545
